city_id,country_code,city,us_state,population,rank,lookback,month,humidity
3677,US,Rochester,New York,209802,3,L3Y,10,8.96667561686726
3677,US,Rochester,New York,209802,3,L3Y,11,3.9354032805889596
3677,US,Rochester,New York,209802,3,L3Y,12,3.2865745960949013
3677,US,Rochester,New York,209802,3,L5Y,1,2.523771691942114
3677,US,Rochester,New York,209802,3,L5Y,2,2.272369937766622
3677,US,Rochester,New York,209802,3,L5Y,3,4.09787761631361
3677,US,Rochester,New York,209802,3,L5Y,4,2.858571973436664
3677,US,Rochester,New York,209802,3,L5Y,5,5.757535416010428
3677,US,Rochester,New York,209802,3,L5Y,6,8.963052825320151
3677,US,Rochester,New York,209802,3,L5Y,7,13.177572271926191
3677,US,Rochester,New York,209802,3,L5Y,8,12.826004124995706
3677,US,Rochester,New York,209802,3,L5Y,9,10.04705313619517
3677,US,Rochester,New York,209802,3,L5Y,10,8.090999429852292
3677,US,Rochester,New York,209802,3,L5Y,11,4.19077902601231
3677,US,Rochester,New York,209802,3,L5Y,12,3.5083029085352813
3582,US,Syracuse,New York,144142,4,L10Y,1,2.5976562846139926
3582,US,Syracuse,New York,144142,4,L10Y,2,2.7343321128019986
3582,US,Syracuse,New York,144142,4,L10Y,3,2.9964415369571924
3582,US,Syracuse,New York,144142,4,L10Y,4,3.7874247846751343
3582,US,Syracuse,New York,144142,4,L10Y,5,6.237421986459329
3582,US,Syracuse,New York,144142,4,L10Y,6,8.617941515697664
3582,US,Syracuse,New York,144142,4,L10Y,7,12.74911686473365
3582,US,Syracuse,New York,144142,4,L10Y,8,12.392158377664739
3582,US,Syracuse,New York,144142,4,L10Y,9,11.466767873472664
3582,US,Syracuse,New York,144142,4,L10Y,10,7.890750642566329
3582,US,Syracuse,New York,144142,4,L10Y,11,5.162132924383424
3582,US,Syracuse,New York,144142,4,L10Y,12,3.8851772400361746
3582,US,Syracuse,New York,144142,4,L1Y,1,2.7475159100671434
3582,US,Syracuse,New York,144142,4,L1Y,2,1.560231387527497
3582,US,Syracuse,New York,144142,4,L1Y,3,5.087159021788981
3582,US,Syracuse,New York,144142,4,L1Y,4,2.939001741767233
3582,US,Syracuse,New York,144142,4,L1Y,5,2.5452064075199874
3582,US,Syracuse,New York,144142,4,L1Y,6,6.837260678651054
3582,US,Syracuse,New York,144142,4,L1Y,7,13.463270286542626
3582,US,Syracuse,New York,144142,4,L1Y,8,9.723355287305719
3582,US,Syracuse,New York,144142,4,L1Y,9,11.532031497411563
3582,US,Syracuse,New York,144142,4,L1Y,10,6.685120457969613
3582,US,Syracuse,New York,144142,4,L1Y,11,4.613220276591608
3582,US,Syracuse,New York,144142,4,L1Y,12,3.5417330491135584
3582,US,Syracuse,New York,144142,4,L3Y,1,3.504280572696089
3582,US,Syracuse,New York,144142,4,L3Y,2,1.794553996603791
3582,US,Syracuse,New York,144142,4,L3Y,3,2.6352823846825455
3582,US,Syracuse,New York,144142,4,L3Y,4,2.9096552191379708
3582,US,Syracuse,New York,144142,4,L3Y,5,5.2523189554384375
3582,US,Syracuse,New York,144142,4,L3Y,6,7.07311880670598
3582,US,Syracuse,New York,144142,4,L3Y,7,11.84055882162116
3582,US,Syracuse,New York,144142,4,L3Y,8,11.837632639217418
3582,US,Syracuse,New York,144142,4,L3Y,9,10.202977340209232
3582,US,Syracuse,New York,144142,4,L3Y,10,8.60602509510949
3582,US,Syracuse,New York,144142,4,L3Y,11,4.032936526947999
3582,US,Syracuse,New York,144142,4,L3Y,12,3.582838066777873
3582,US,Syracuse,New York,144142,4,L5Y,1,2.7691694751207416
3582,US,Syracuse,New York,144142,4,L5Y,2,2.0456702360216745
3582,US,Syracuse,New York,144142,4,L5Y,3,3.979492383689137
3582,US,Syracuse,New York,144142,4,L5Y,4,3.0240527620563316
3582,US,Syracuse,New York,144142,4,L5Y,5,5.856164182687805
3582,US,Syracuse,New York,144142,4,L5Y,6,8.770242083767686
3582,US,Syracuse,New York,144142,4,L5Y,7,13.338533848630295
3582,US,Syracuse,New York,144142,4,L5Y,8,12.775831137373931
3582,US,Syracuse,New York,144142,4,L5Y,9,9.706070538807992
3582,US,Syracuse,New York,144142,4,L5Y,10,8.075845923009387
3582,US,Syracuse,New York,144142,4,L5Y,11,4.383417489740816
3582,US,Syracuse,New York,144142,4,L5Y,12,3.74329226460319
3533,US,Los Angeles,California,3971883,1,L10Y,1,3.8986132615018305
3533,US,Los Angeles,California,3971883,1,L10Y,2,5.20252666498608
3533,US,Los Angeles,California,3971883,1,L10Y,3,6.176495796496432
3533,US,Los Angeles,California,3971883,1,L10Y,4,7.106321994973522
3533,US,Los Angeles,California,3971883,1,L10Y,5,7.585394906893269
3533,US,Los Angeles,California,3971883,1,L10Y,6,9.532872934628971
3533,US,Los Angeles,California,3971883,1,L10Y,7,11.302965238958308
3533,US,Los Angeles,California,3971883,1,L10Y,8,11.693616543522074
3533,US,Los Angeles,California,3971883,1,L10Y,9,12.646475419617193
3533,US,Los Angeles,California,3971883,1,L10Y,10,9.736892256113475
3533,US,Los Angeles,California,3971883,1,L10Y,11,7.049114484897838
3533,US,Los Angeles,California,3971883,1,L10Y,12,5.982998060581599
3533,US,Los Angeles,California,3971883,1,L1Y,1,4.301325664803008
3533,US,Los Angeles,California,3971883,1,L1Y,2,6.156483439658412
3533,US,Los Angeles,California,3971883,1,L1Y,3,1.4907678770783785
3533,US,Los Angeles,California,3971883,1,L1Y,4,2.1915271163241874
3533,US,Los Angeles,California,3971883,1,L1Y,5,8.037988363983134
3533,US,Los Angeles,California,3971883,1,L1Y,6,9.323500658112257
3533,US,Los Angeles,California,3971883,1,L1Y,7,11.520569789875568
3533,US,Los Angeles,California,3971883,1,L1Y,8,10.598436154428757
3533,US,Los Angeles,California,3971883,1,L1Y,9,11.72437497341796
3533,US,Los Angeles,California,3971883,1,L1Y,10,5.170579581734251
3533,US,Los Angeles,California,3971883,1,L1Y,11,9.593528501057012
3533,US,Los Angeles,California,3971883,1,L1Y,12,4.640604186991156
3533,US,Los Angeles,California,3971883,1,L3Y,1,3.7510313738531518
3533,US,Los Angeles,California,3971883,1,L3Y,2,5.516274366336699
3533,US,Los Angeles,California,3971883,1,L3Y,3,6.413449074624289
3533,US,Los Angeles,California,3971883,1,L3Y,4,6.053187224486346
3533,US,Los Angeles,California,3971883,1,L3Y,5,8.50983426102809
3533,US,Los Angeles,California,3971883,1,L3Y,6,9.712556026601932
3533,US,Los Angeles,California,3971883,1,L3Y,7,10.892313139900486
3533,US,Los Angeles,California,3971883,1,L3Y,8,10.457403628088237
3533,US,Los Angeles,California,3971883,1,L3Y,9,12.076346487208733
3533,US,Los Angeles,California,3971883,1,L3Y,10,6.895838845184191
3533,US,Los Angeles,California,3971883,1,L3Y,11,5.483925824954223
3533,US,Los Angeles,California,3971883,1,L3Y,12,4.522991890401667
3533,US,Los Angeles,California,3971883,1,L5Y,1,4.3944973826631495
3533,US,Los Angeles,California,3971883,1,L5Y,2,5.386266519237688
3533,US,Los Angeles,California,3971883,1,L5Y,3,6.013441635689448
3533,US,Los Angeles,California,3971883,1,L5Y,4,6.5630313539970455
3533,US,Los Angeles,California,3971883,1,L5Y,5,8.105306873960433
3533,US,Los Angeles,California,3971883,1,L5Y,6,9.815967215061285
3533,US,Los Angeles,California,3971883,1,L5Y,7,10.814251103740578
3533,US,Los Angeles,California,3971883,1,L5Y,8,11.426919588761596
3533,US,Los Angeles,California,3971883,1,L5Y,9,12.600800813755146
3533,US,Los Angeles,California,3971883,1,L5Y,10,8.81260284559223
3533,US,Los Angeles,California,3971883,1,L5Y,11,6.46132905177983
3533,US,Los Angeles,California,3971883,1,L5Y,12,5.272600691935708
3423,US,San Diego,California,1394928,2,L10Y,1,5.05862848691506
3423,US,San Diego,California,1394928,2,L10Y,2,6.1775765874803685
3423,US,San Diego,California,1394928,2,L10Y,3,6.910746483191646
3423,US,San Diego,California,1394928,2,L10Y,4,7.22685240758882
3423,US,San Diego,California,1394928,2,L10Y,5,7.750695940134318
3423,US,San Diego,California,1394928,2,L10Y,6,9.611892542738898
3423,US,San Diego,California,1394928,2,L10Y,7,11.458633922578697
3423,US,San Diego,California,1394928,2,L10Y,8,12.586397215111477
3423,US,San Diego,California,1394928,2,L10Y,9,12.71593751249531
3423,US,San Diego,California,1394928,2,L10Y,10,10.50688515496703
3423,US,San Diego,California,1394928,2,L10Y,11,7.973455212472755
3423,US,San Diego,California,1394928,2,L10Y,12,7.285749441689359
3423,US,San Diego,California,1394928,2,L1Y,1,5.608015946355008
3423,US,San Diego,California,1394928,2,L1Y,2,5.792717749634783
3423,US,San Diego,California,1394928,2,L1Y,3,3.171919158608072
3423,US,San Diego,California,1394928,2,L1Y,4,4.070522912702002
3423,US,San Diego,California,1394928,2,L1Y,5,7.996128377026022
3423,US,San Diego,California,1394928,2,L1Y,6,9.537838448934881
3423,US,San Diego,California,1394928,2,L1Y,7,11.990783529330955
3423,US,San Diego,California,1394928,2,L1Y,8,11.759869428696756
3423,US,San Diego,California,1394928,2,L1Y,9,11.764676905758947
3423,US,San Diego,California,1394928,2,L1Y,10,8.692847414163777
3423,US,San Diego,California,1394928,2,L1Y,11,8.826061769647216
3423,US,San Diego,California,1394928,2,L1Y,12,8.05864630266867
3423,US,San Diego,California,1394928,2,L3Y,1,4.771628317914105
3423,US,San Diego,California,1394928,2,L3Y,2,6.430474030047869
3423,US,San Diego,California,1394928,2,L3Y,3,6.6827995075313416
3423,US,San Diego,California,1394928,2,L3Y,4,6.413692930975238
3423,US,San Diego,California,1394928,2,L3Y,5,8.63635301278246
3423,US,San Diego,California,1394928,2,L3Y,6,9.615527601518304
3423,US,San Diego,California,1394928,2,L3Y,7,10.966320791368156
3423,US,San Diego,California,1394928,2,L3Y,8,12.061100776461837
3423,US,San Diego,California,1394928,2,L3Y,9,12.188189719227703
3423,US,San Diego,California,1394928,2,L3Y,10,8.22391411958487
3423,US,San Diego,California,1394928,2,L3Y,11,6.704589299913176
3423,US,San Diego,California,1394928,2,L3Y,12,6.4674873467162355
3423,US,San Diego,California,1394928,2,L5Y,1,5.379353381322662
3423,US,San Diego,California,1394928,2,L5Y,2,6.123651472227965
3423,US,San Diego,California,1394928,2,L5Y,3,6.43145099807447
3423,US,San Diego,California,1394928,2,L5Y,4,6.967230912409361
3423,US,San Diego,California,1394928,2,L5Y,5,8.046339883099094
3423,US,San Diego,California,1394928,2,L5Y,6,9.463155352505296
3423,US,San Diego,California,1394928,2,L5Y,7,10.818030892000221
3423,US,San Diego,California,1394928,2,L5Y,8,12.82454014646278
3423,US,San Diego,California,1394928,2,L5Y,9,12.522844620607994
3423,US,San Diego,California,1394928,2,L5Y,10,9.802395978982398
3423,US,San Diego,California,1394928,2,L5Y,11,7.220420394224041
3423,US,San Diego,California,1394928,2,L5Y,12,6.921615530440275
3461,US,San Jose,California,1026908,3,L10Y,1,4.977971115583011
3461,US,San Jose,California,1026908,3,L10Y,2,5.755488989368854
3461,US,San Jose,California,1026908,3,L10Y,3,6.663819817915059
3461,US,San Jose,California,1026908,3,L10Y,4,6.4420382159138025
3461,US,San Jose,California,1026908,3,L10Y,5,7.396621030462138
3461,US,San Jose,California,1026908,3,L10Y,6,9.40461695393235
3461,US,San Jose,California,1026908,3,L10Y,7,10.073316116810505
3461,US,San Jose,California,1026908,3,L10Y,8,10.285802444611223
3461,US,San Jose,California,1026908,3,L10Y,9,10.306292332070269
3461,US,San Jose,California,1026908,3,L10Y,10,9.455282095957408
3461,US,San Jose,California,1026908,3,L10Y,11,8.28878299295657
3461,US,San Jose,California,1026908,3,L10Y,12,7.0804537389552635
3461,US,San Jose,California,1026908,3,L1Y,1,5.651506160762758
3461,US,San Jose,California,1026908,3,L1Y,2,5.838534873267436
3461,US,San Jose,California,1026908,3,L1Y,3,5.1399237147250965
3461,US,San Jose,California,1026908,3,L1Y,4,5.929762333853757
3461,US,San Jose,California,1026908,3,L1Y,5,7.948322422637818
3461,US,San Jose,California,1026908,3,L1Y,6,9.486944223853307
3461,US,San Jose,California,1026908,3,L1Y,7,9.48684774390553
3461,US,San Jose,California,1026908,3,L1Y,8,10.66740547011956
3461,US,San Jose,California,1026908,3,L1Y,9,9.151534236453685
3461,US,San Jose,California,1026908,3,L1Y,10,11.00482491061072
3461,US,San Jose,California,1026908,3,L1Y,11,8.376018122845661
3461,US,San Jose,California,1026908,3,L1Y,12,6.505312261780845
3461,US,San Jose,California,1026908,3,L3Y,1,4.923598127343204
3461,US,San Jose,California,1026908,3,L3Y,2,6.443757274425697
3461,US,San Jose,California,1026908,3,L3Y,3,5.611580733470667
3461,US,San Jose,California,1026908,3,L3Y,4,6.483048194292498
3461,US,San Jose,California,1026908,3,L3Y,5,7.358777414778985
3461,US,San Jose,California,1026908,3,L3Y,6,9.78548327446367
3461,US,San Jose,California,1026908,3,L3Y,7,9.31086142064573
3461,US,San Jose,California,1026908,3,L3Y,8,9.870762539095635
3461,US,San Jose,California,1026908,3,L3Y,9,10.743676439084139
3461,US,San Jose,California,1026908,3,L3Y,10,9.038426146650808
3461,US,San Jose,California,1026908,3,L3Y,11,7.776936133442173
3461,US,San Jose,California,1026908,3,L3Y,12,6.826761691856228
3461,US,San Jose,California,1026908,3,L5Y,1,5.305768688482526
3461,US,San Jose,California,1026908,3,L5Y,2,6.203114606012259
3461,US,San Jose,California,1026908,3,L5Y,3,6.152407092252617
3461,US,San Jose,California,1026908,3,L5Y,4,6.417821762062395
3461,US,San Jose,California,1026908,3,L5Y,5,7.663382800164638
3461,US,San Jose,California,1026908,3,L5Y,6,9.253590310073161
3461,US,San Jose,California,1026908,3,L5Y,7,9.149086784127187
3461,US,San Jose,California,1026908,3,L5Y,8,10.162960378509817
3461,US,San Jose,California,1026908,3,L5Y,9,10.6913023200938
3461,US,San Jose,California,1026908,3,L5Y,10,9.585420656527395
3461,US,San Jose,California,1026908,3,L5Y,11,7.925514374576719
3461,US,San Jose,California,1026908,3,L5Y,12,6.934733520285287
3662,US,Fresno,California,520052,4,L10Y,1,4.032342726828908
3662,US,Fresno,California,520052,4,L10Y,2,5.216458958633707
3662,US,Fresno,California,520052,4,L10Y,3,4.983608667933053
3662,US,Fresno,California,520052,4,L10Y,4,5.4827071468221655
3662,US,Fresno,California,520052,4,L10Y,5,5.007312874284631
3662,US,Fresno,California,520052,4,L10Y,6,6.6294217874422845
3662,US,Fresno,California,520052,4,L10Y,7,7.786452538476077
3662,US,Fresno,California,520052,4,L10Y,8,7.409848996163123
3662,US,Fresno,California,520052,4,L10Y,9,7.363858331686563
3662,US,Fresno,California,520052,4,L10Y,10,7.243838198154565
3662,US,Fresno,California,520052,4,L10Y,11,5.953357057927262
3662,US,Fresno,California,520052,4,L10Y,12,5.698464996439647
3662,US,Fresno,California,520052,4,L1Y,1,4.564914701957964
3662,US,Fresno,California,520052,4,L1Y,2,5.48120217334221
3662,US,Fresno,California,520052,4,L1Y,3,3.702362271787406
